Model,HyperParameters,Scaler,Test Size,Outlier Handling,Fit Time(s),Validation RMSLE,Test RMSLE
ElasticNet,"{'warm_start': True, 'selection': 'cyclic', 'l1_ratio': 0.9500000000000001, 'alpha': 0.30000000000000004}",MinMaxScaler,0.1,YeoJonson,7.132136821746826,0.1765102920912919,0.14548902833365035
GradientBoostingRegressor,"{'warm_start': False, 'n_estimators': 400, 'min_samples_split': 16, 'max_depth': 24, 'loss': 'huber', 'learning_rate': 0.2}",StandardScaler,0.3,YeoJonson,216.70963144302368,0.15363624520039448,0.1461379012042591
GradientBoostingRegressor,"{'warm_start': False, 'n_estimators': 400, 'min_samples_split': 16, 'max_depth': 24, 'loss': 'huber', 'learning_rate': 0.2}",MinMaxScaler,0.3,YeoJonson,196.4122893810272,0.15392413029972704,0.14616742705059188
GradientBoostingRegressor,"{'warm_start': False, 'n_estimators': 400, 'min_samples_split': 16, 'max_depth': 24, 'loss': 'huber', 'learning_rate': 0.2}",RobustScaler,0.3,YeoJonson,207.9154763221741,0.15296347231811516,0.14628464739582742
GradientBoostingRegressor,"{'warm_start': False, 'n_estimators': 400, 'min_samples_split': 16, 'max_depth': 24, 'loss': 'huber', 'learning_rate': 0.2}",None,0.3,YeoJonson,196.92221856117249,0.15296321268273275,0.14628464802831334
ElasticNet,"{'warm_start': False, 'selection': 'random', 'l1_ratio': 0.65, 'alpha': 0.2}",RobustScaler,0.1,Replace,8.839436292648314,0.15305296888484782,0.14660044039891665
GradientBoostingRegressor,"{'warm_start': False, 'n_estimators': 400, 'min_samples_split': 16, 'max_depth': 24, 'loss': 'huber', 'learning_rate': 0.2}",StandardScaler,0.3,Log,206.79475855827332,0.1553034735495667,0.14675816702704952
ElasticNet,"{'warm_start': False, 'selection': 'random', 'l1_ratio': 0.8, 'alpha': 0.6}",StandardScaler,0.1,Replace,8.772121906280518,0.1543830339589547,0.1467625259297091
GradientBoostingRegressor,"{'warm_start': False, 'n_estimators': 400, 'min_samples_split': 16, 'max_depth': 24, 'loss': 'huber', 'learning_rate': 0.2}",None,0.3,Log,207.34121799469003,0.15528546421277428,0.14676887000391034
GradientBoostingRegressor,"{'warm_start': False, 'n_estimators': 400, 'min_samples_split': 16, 'max_depth': 24, 'loss': 'huber', 'learning_rate': 0.2}",RobustScaler,0.3,Log,205.22528648376462,0.15528610864390388,0.14676888622297773
GradientBoostingRegressor,"{'warm_start': False, 'n_estimators': 400, 'min_samples_split': 16, 'max_depth': 24, 'loss': 'huber', 'learning_rate': 0.2}",MinMaxScaler,0.3,Log,206.41430521011355,0.15528581520097984,0.1467762002393766
